Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
4987302823,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Bo Nix (41033945),Josh Jacobs (41034030),Ashton Jeanty (41034042),Luther Burden III (41034362),Puka Nacua (41034268),Michael Wilson (41034298),Evan Engram (41034720),RJ Harvey (41034050),Browns (41034951),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
4987302855,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Bo Nix (41033945),Ashton Jeanty (41034042),Kenneth Walker III (41034052),Puka Nacua (41034268),Courtland Sutton (41034300),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),RJ Harvey (41034050),Raiders (41034969),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
4987302868,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Bo Nix (41033945),Ashton Jeanty (41034042),Kenneth Walker III (41034052),Troy Franklin (41034302),Puka Nacua (41034268),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),RJ Harvey (41034050),Jets (41034964),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
4987302872,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Bo Nix (41033945),Ashton Jeanty (41034042),Kyren Williams (41034034),Pat Bryant (41034388),Puka Nacua (41034268),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),Kenneth Walker III (41034052),Browns (41034951),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
4987302882,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Bo Nix (41033945),Ashton Jeanty (41034042),Kenneth Walker III (41034052),Darnell Mooney (41034326),Puka Nacua (41034268),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),Courtland Sutton (41034300),Packers (41034957),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
4987302891,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Bo Nix (41033945),Ashton Jeanty (41034042),Kenneth Walker III (41034052),Puka Nacua (41034268),Courtland Sutton (41034300),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),Zonovan Knight (41034064),Titans (41034959),,,,,,,,,,
4987409012,NFL $15K Quarter Jukebox [Just $0.25!] ,185637289,$0.25 ,Caleb Williams (41033950),De'Von Achane (41034020),Bijan Robinson (41034022),Luther Burden III (41034362),DJ Moore (41034328),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),Ashton Jeanty (41034042),Steelers (41034962),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
4987302781,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Geno Smith (41033962),RJ Harvey (41034050),Ashton Jeanty (41034042),Tyler Lockett (41034380),Jaxon Smith-Njigba (41034266),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),Puka Nacua (41034268),Titans (41034959),,RB,Jonathan Taylor (41034018),Jonathan Taylor,41034018,RB/FLEX,9300,IND@JAX 12/07/2025 01:00PM ET,IND,26.05
4987302810,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Geno Smith (41033962),RJ Harvey (41034050),Ashton Jeanty (41034042),Jack Bech (41034452),Jaxon Smith-Njigba (41034266),Michael Wilson (41034298),Kyle Pitts Sr. (41034702),Puka Nacua (41034268),Packers (41034957),,WR,Jaxon Smith-Njigba (41034266),Jaxon Smith-Njigba,41034266,WR/FLEX,9000,SEA@ATL 12/07/2025 01:00PM ET,SEA,23.69
4987302822,NFL $150K mini-MAX [150 Entry Max],185637288,$0.50 ,Geno Smith (41033962),Josh Jacobs (41034030),Ashton Jeanty (41034042),Luther Burden III (41034362),Puka Nacua (41034268),Michael Wilson (41034298),Brock Bowers (41034694),RJ Harvey (41034050),Titans (41034959),,RB,De'Von Achane (41034020),De'Von Achane,41034020,RB/FLEX,8800,MIA@NYJ 12/07/2025 01:00PM ET,MIA,22.2
